manufacturer,category,subcategory,gwp_total,gwp_use_ratio,lifetime,gwp_manufacturing_ratio,screen_size,weight
Dell,Workplace,Laptop,584.8881742736367,0.05922828562554227,4.991392853326214,1.1507240600358197,31.5,3.24
Dell,Workplace,Laptop,97.47291137634205,0.0787590689699819,2.9791133976397473,0.98253394308023,18.2,1.02
Dell,Workplace,Desktop,833.0825078083776,0.2018772142845264,4.986385714330411,0.8204475341323187,29.3,9.62
Dell,Workplace,Monitor,2409.178171601956,0.5097664622858933,5.017471312288672,0.44889592229385983,11.2,9.48
Dell,Workplace,Monitor,124.26849486483015,0.2241513058488554,5.0030944321358675,1.1485760587696874,21.9,4.48
Dell,Workplace,Laptop,180.62019092161836,0.19810224062659537,4.976531778432808,0.8673757443432352,19.9,8.9
Dell,Workplace,Laptop,81.62665332355992,0.05118059773577089,3.968203628016948,1.3603286679247881,29.8,4.2
Dell,Workplace,Monitor,1123.2629856165183,0.4151767154854131,5.037921073228647,0.3350263665586347,35.0,14.67
Dell,Workplace,Laptop,1538.4445322489187,0.4221669978815333,4.981643861623404,0.23120887103435422,13.0,8.52
Dell,Workplace,Laptop,1075.1851878591483,0.2117006031142389,4.995226426570273,1.0112865518336325,15.7,10.53
Dell,Workplace,Monitor,943.8830987719657,0.34067211834223593,5.997696077527083,0.1625872188628468,13.6,8.73
Dell,Workplace,Laptop,280.5485281453681,0.17391936419108892,4.005851013301128,0.9912359309203194,11.7,2.4
Dell,Workplace,Monitor,1093.8796082794315,0.20622519894176997,4.982850427644064,0.695292905421321,35.0,14.51
Dell,Workplace,Monitor,2042.726591616709,0.5001898409486271,6.011415670906502,0.4845920743800203,10.9,22.19
Dell,Workplace,Laptop,2486.6937299397764,0.5010978727716947,5.004711338982307,0.10670652326858258,6.0,17.81
Dell,Workplace,Monitor,1747.482633706178,0.29661895472158006,5.998340713837239,0.6060193348639025,31.3,12.81
Dell,Workplace,Desktop,1326.0818741497774,0.34846914715990285,4.960123547987453,0.4559638146613452,14.7,7.2
Dell,Workplace,Monitor,2760.3702246406474,0.22780375676017306,6.0168207345337725,0.4340168602168331,52.5,18.01
Dell,Workplace,Desktop,550.5125309191035,0.08735784383977506,3.0083477207735476,0.9994673610773273,5.5,4.91
Dell,Workplace,Monitor,485.0266612044423,0.09012446882207924,3.0046420329892207,0.6585412171641916,21.4,1.74
Dell,Workplace,Laptop,1335.857687282241,0.17934467148095168,4.991089132088616,0.9516339413377822,7.8,3.29
Dell,Workplace,Desktop,684.5412825067709,0.30967416297813183,3.9878851374659434,0.4291622452485787,12.4,17.39
Dell,Workplace,Monitor,513.3850017107093,0.24821807894194828,5.0037227456879085,0.43716393749585214,15.4,3.44
Dell,Workplace,Monitor,1931.3098725323732,0.14578052083673734,5.000492719439016,0.8813548289751074,16.6,4.12
Dell,Workplace,Server,248.0477063694153,0.12458978905846321,2.99110593503515,1.0461143392072918,0.8,0.52
Dell,Workplace,Monitor,1343.6308477462248,0.45778768015453203,5.987330389937634,0.22065624055890445,32.9,15.67
Dell,Workplace,Monitor,1023.3689706039117,0.5321334317677542,5.000364597244987,0.16838265954776663,28.9,4.95
Dell,Workplace,Laptop,1554.6342737963284,0.13929629445811795,4.996554033677065,1.018448435947471,1.5,6.6
Dell,Workplace,Laptop,124.79226866978833,0.08035243645830462,2.9991546559305027,1.3164763172927885,13.7,0.92
Dell,Workplace,Monitor,2551.535812070428,0.3895485608686096,5.996375590343065,0.23957555523276125,36.9,26.21
Dell,Workplace,Monitor,2036.0636816890863,0.21669711425034424,6.000941503832055,0.5472559813247447,36.6,16.13
Dell,Workplace,Monitor,1047.737074929713,0.3160576395606726,5.002038451628261,0.33256736163551487,10.0,10.97
Dell,Workplace,Monitor,946.6366350012275,0.11446551365045174,5.974232429887064,0.8618710400972378,34.2,9.65
Dell,Workplace,Monitor,1839.1862160475541,0.2505663923226153,6.000214402873133,0.4323079520326346,24.0,14.35
Dell,Workplace,Monitor,1675.0685151676237,0.3126100719453895,6.024575329289588,0.7201715520089756,9.9,14.59
Dell,Workplace,Laptop,144.2420836206618,0.10206626093590881,4.015821720577922,1.40288370603659,14.7,3.12
Dell,Workplace,Server,242.55017639527452,0.18383110051519733,2.9982244691148763,0.9228976868530876,9.3,2.32
Dell,Workplace,Laptop,341.122100020142,0.30966960742729494,5.038383360893645,1.1044894263576743,4.1,3.97
Dell,Workplace,Laptop,712.6179719290442,0.10985899914176811,5.0206693608718505,1.1673469509337027,17.6,5.57
Dell,Workplace,Desktop,100.67830736283781,0.0936872769838568,2.9932239663655804,0.8252766449823525,5.2,0.64
Dell,Workplace,Laptop,695.6790476568061,0.12060228940066203,4.99940205967779,1.2405035333073182,31.6,2.98
